wadept,Keycode,Date,Hour,Label
Denver,12S131,3/6/2012,11,4
Denver,12S131,3/6/2012,12,4
Denver,12S131,3/6/2012,13,4
Denver,12S131,3/6/2012,14,4
Denver,12S131,3/6/2012,15,4
Denver,12S131,3/6/2012,16,4
Denver,12S131,3/6/2012,17,4
Denver,12S131,3/6/2012,18,4
Denver,12S131,3/6/2012,19,4
Denver,12S131,3/6/2012,20,4
Denver,12S131,3/6/2012,21,3
Denver,12S131,3/6/2012,22,4
Denver,12S131,3/6/2012,23,4
Denver,12S144,3/8/2012,0,4
Denver,12S144,3/8/2012,1,4
Denver,12S144,3/8/2012,2,4
Denver,12S144,3/8/2012,3,2
Denver,12S144,3/8/2012,4,4
Denver,12S144,3/8/2012,5,2
Denver,12S144,3/8/2012,6,2
Denver,12S144,3/8/2012,7,2
Denver,12S144,3/8/2012,8,2
Denver,12S144,3/8/2012,9,2
Denver,12S144,3/8/2012,10,2
Denver,12S144,3/8/2012,11,4
Denver,12S144,3/8/2012,12,4
Denver,12S144,3/8/2012,13,4
Denver,12S144,3/8/2012,14,4
Denver,12S144,3/8/2012,15,4
Denver,12S144,3/8/2012,16,4
Denver,12S144,3/8/2012,17,2
Denver,12S144,3/8/2012,18,2
Denver,12S144,3/8/2012,19,3
Denver,12S144,3/8/2012,20,4
Denver,12S144,3/8/2012,21,4
Denver,12S144,3/8/2012,22,4
Denver,12S144,3/8/2012,23,4
Denver,12S144,3/9/2012,0,4
Denver,12S144,3/9/2012,1,4
Denver,12S144,3/9/2012,2,4
Denver,12S144,3/9/2012,3,4
Denver,12S144,3/9/2012,4,2
Denver,12S144,3/9/2012,5,3
Denver,12S144,3/9/2012,6,3
Denver,12S144,3/9/2012,7,3
Denver,12S144,3/9/2012,8,3
Denver,12S144,3/9/2012,9,2
Denver,12S144,3/9/2012,10,2
Denver,12S144,3/9/2012,11,2
Denver,12S144,3/9/2012,12,4
Denver,12S144,3/9/2012,13,4
Denver,12S144,3/9/2012,14,4
Denver,12S144,3/9/2012,15,2
Denver,12S144,3/9/2012,16,4
Denver,12S144,3/9/2012,17,2
Denver,12S144,3/9/2012,18,2
Denver,12S144,3/9/2012,19,2
Denver,12S144,3/9/2012,20,4
Denver,12S144,3/9/2012,21,4
Denver,12S144,3/9/2012,22,4
Denver,12S144,3/9/2012,23,4
Denver,12S144,3/11/2012,0,4
Denver,12S144,3/11/2012,1,3
Denver,12S144,3/11/2012,2,4
Denver,12S144,3/11/2012,3,4
Denver,12S144,3/11/2012,4,4
Denver,12S144,3/11/2012,5,3
Denver,12S144,3/11/2012,6,4
Denver,12S144,3/11/2012,7,3
Denver,12S144,3/11/2012,8,3
Denver,12S144,3/11/2012,9,2
Denver,12S144,3/11/2012,10,2
Denver,12S144,3/11/2012,11,3
Denver,12S144,3/11/2012,12,1
Denver,12S144,3/11/2012,13,4
Denver,12S144,3/11/2012,14,4
Denver,12S144,3/11/2012,15,4
Denver,12S144,3/11/2012,16,4
Denver,12S144,3/11/2012,17,4
Denver,12S144,3/11/2012,18,4
Denver,12S144,3/11/2012,19,1
Denver,12S144,3/11/2012,20,1
Denver,12S144,3/11/2012,21,1
Denver,12S144,3/11/2012,22,4
Denver,12S144,3/11/2012,23,4
Denver,12S144,3/12/2012,0,4
Denver,12S144,3/12/2012,1,4
Denver,12S144,3/12/2012,2,4
Denver,12S144,3/12/2012,3,4
Denver,12S144,3/12/2012,4,3
Denver,12S144,3/12/2012,5,3
Denver,12S144,3/12/2012,6,4
Denver,12S144,3/12/2012,7,3
Denver,12S144,3/12/2012,8,4
Denver,12S144,3/12/2012,9,2
Denver,12S144,3/12/2012,10,4
Denver,12S144,3/12/2012,11,4
Denver,12S144,3/12/2012,12,3
Denver,12S144,3/12/2012,13,2
Denver,12S144,3/12/2012,14,2
Denver,12S144,3/12/2012,15,2
Denver,12S144,3/12/2012,16,2
Denver,12S144,3/12/2012,17,2
Denver,12S144,3/12/2012,18,2
Denver,12S144,3/12/2012,19,1
Denver,12S144,3/12/2012,20,4
Denver,12S144,3/12/2012,21,4
Denver,12S144,3/12/2012,22,4
Denver,12S144,3/12/2012,23,4
Denver,12S144,3/13/2012,0,3
Denver,12S144,3/13/2012,1,4
Denver,12S144,3/13/2012,2,3
Denver,12S144,3/13/2012,3,4
Denver,12S144,3/13/2012,4,3
Denver,12S144,3/13/2012,5,4
Denver,12S144,3/13/2012,6,3
Denver,12S144,3/13/2012,7,3
Denver,12S144,3/13/2012,8,3
Denver,12S144,3/13/2012,9,2
Denver,12S144,3/13/2012,10,4
Denver,12S144,3/13/2012,11,4
Denver,12S144,3/13/2012,12,4
Denver,12S144,3/13/2012,13,4
Denver,12S144,3/13/2012,14,2
Denver,12S144,3/13/2012,15,2
Denver,12S144,3/13/2012,16,2
Denver,12S144,3/13/2012,17,4
Denver,12S144,3/13/2012,18,4
Denver,12S144,3/13/2012,19,1
Denver,12S144,3/13/2012,20,4
Denver,12S144,3/13/2012,21,4
Denver,12S144,3/13/2012,22,4
Denver,12S144,3/13/2012,23,4
Denver,12S144,3/14/2012,0,4
Denver,12S144,3/14/2012,1,4
Denver,12S144,3/14/2012,2,4
Denver,12S144,3/14/2012,3,2
Denver,12S144,3/14/2012,4,2
Denver,12S144,3/14/2012,5,2
Denver,12S144,3/14/2012,6,2
Denver,12S144,3/14/2012,7,3
Denver,12S144,3/14/2012,8,2
Denver,12S144,3/14/2012,9,2
Denver,12S144,3/14/2012,10,2
Denver,12S144,3/14/2012,11,2
Denver,12S144,3/14/2012,12,2
Denver,12S144,3/14/2012,13,4
Denver,12S144,3/14/2012,14,4
Denver,12S144,3/14/2012,15,2
Denver,12S144,3/14/2012,16,2
Denver,12S144,3/14/2012,17,2
Denver,12S144,3/14/2012,18,2
Denver,12S144,3/14/2012,19,2
Denver,12S144,3/14/2012,20,4
Denver,12S144,3/14/2012,21,4
Denver,12S144,3/14/2012,22,4
Denver,12S144,3/14/2012,23,4
Denver,12S144,3/15/2012,0,4
Denver,12S144,3/15/2012,1,4
Denver,12S144,3/15/2012,2,2
Denver,12S144,3/15/2012,3,3
Denver,12S144,3/15/2012,4,3
Denver,12S144,3/15/2012,5,3
Denver,12S144,3/15/2012,6,3
Denver,12S144,3/15/2012,7,3
Denver,12S144,3/15/2012,8,2
Denver,12S144,3/15/2012,9,4
Denver,12S144,3/15/2012,10,4
Denver,12S144,3/15/2012,11,4
Denver,12S144,3/15/2012,12,4
Denver,12S144,3/15/2012,13,4
Denver,12S144,3/15/2012,14,4
Denver,12S144,3/15/2012,15,2
Denver,12S144,3/15/2012,16,2
Denver,12S144,3/15/2012,17,2
Denver,12S144,3/15/2012,18,2
Denver,12S144,3/15/2012,19,4
Denver,12S144,3/15/2012,20,4
Denver,12S144,3/15/2012,21,4
Denver,12S144,3/15/2012,22,4
Denver,12S144,3/15/2012,23,4
Denver,12S144,3/16/2012,0,4
Denver,12S144,3/16/2012,1,4
Denver,12S144,3/16/2012,2,4
Denver,12S144,3/16/2012,3,4
Denver,12S144,3/16/2012,4,3
Denver,12S144,3/16/2012,5,3
Denver,12S144,3/16/2012,6,3
Denver,12S144,3/16/2012,7,3
Denver,12S144,3/16/2012,8,3
Denver,12S144,3/16/2012,9,4
Denver,12S144,3/16/2012,10,4
Denver,12S144,3/16/2012,11,4
Denver,12S144,3/16/2012,12,4
Denver,12S144,3/16/2012,13,4
Denver,12S144,3/16/2012,14,2
Denver,12S144,3/16/2012,15,2
Denver,12S144,3/16/2012,16,2
Denver,12S144,3/16/2012,17,2
Denver,12S144,3/16/2012,18,4
Denver,12S144,3/16/2012,19,1
Denver,12S144,3/16/2012,20,4
Denver,12S144,3/16/2012,21,4
Denver,12S144,3/16/2012,22,4
Denver,12S144,3/16/2012,23,4
Denver,12S144,3/18/2012,0,4
Denver,12S144,3/18/2012,1,4
Denver,12S144,3/18/2012,2,4
Denver,12S144,3/18/2012,3,4
Denver,12S144,3/18/2012,4,4
Denver,12S144,3/18/2012,5,4
Denver,12S144,3/18/2012,6,2
Denver,12S144,3/18/2012,7,2
Denver,12S144,3/18/2012,8,3
Denver,12S144,3/18/2012,9,2
Denver,12S144,3/18/2012,10,2
Denver,12S144,3/18/2012,11,2
Denver,12S144,3/18/2012,12,2
Denver,12S144,3/18/2012,13,2
Denver,12S144,3/18/2012,14,2
Denver,12S144,3/18/2012,15,2
Denver,12S144,3/18/2012,16,2
Denver,12S144,3/18/2012,17,2
Denver,12S144,3/18/2012,18,4
Denver,12S144,3/18/2012,19,4
Denver,12S144,3/18/2012,20,4
Denver,12S144,3/18/2012,21,4
Denver,12S144,3/18/2012,22,4
Denver,12S144,3/18/2012,23,4
Denver,12S144,3/19/2012,0,4
Denver,12S144,3/19/2012,1,4
Denver,12S144,3/19/2012,2,4
Denver,12S144,3/19/2012,3,2
Denver,12S144,3/19/2012,4,3
Denver,12S144,3/19/2012,5,3
Denver,12S144,3/19/2012,6,4
Denver,12S144,3/19/2012,7,4
Denver,12S144,3/19/2012,8,4
Denver,12S144,3/19/2012,9,4
Denver,12S144,3/19/2012,10,2
Denver,12S144,3/19/2012,11,4
Denver,12S144,3/19/2012,12,4
Denver,12S144,3/19/2012,13,4
Denver,12S144,3/19/2012,14,4
Denver,12S144,3/19/2012,15,2
Denver,12S144,3/19/2012,16,2
Denver,12S144,3/19/2012,17,2
Denver,12S144,3/19/2012,18,2
Denver,12S144,3/19/2012,19,4
Denver,12S144,3/19/2012,20,4
Denver,12S144,3/19/2012,21,4
Denver,12S144,3/19/2012,22,4
Denver,12S144,3/19/2012,23,4
Denver,12S144,3/20/2012,0,4
Denver,12S144,3/20/2012,1,4
Denver,12S144,3/20/2012,2,4
Denver,12S144,3/20/2012,3,2
Denver,12S144,3/20/2012,4,3
Denver,12S144,3/20/2012,5,3
Denver,12S144,3/20/2012,6,4
Denver,12S144,3/20/2012,7,3
Denver,12S144,3/20/2012,8,4
Denver,12S144,3/20/2012,9,4
Denver,12S144,3/20/2012,10,4
Denver,12S144,3/20/2012,11,2
Denver,12S144,3/20/2012,12,4
Denver,12S144,3/20/2012,13,4
Denver,12S144,3/20/2012,14,2
Denver,12S144,3/20/2012,15,4
Denver,12S144,3/20/2012,16,2
Denver,12S144,3/20/2012,17,2
Denver,12S144,3/20/2012,18,4
Denver,12S144,3/20/2012,19,4
Denver,12S144,3/20/2012,20,4
Denver,12S144,3/20/2012,21,4
Denver,12S144,3/20/2012,22,4
Denver,12S144,3/20/2012,23,4
Denver,12S159,3/14/2012,0,1
Denver,12S159,3/14/2012,1,1
Denver,12S159,3/14/2012,2,3
Denver,12S159,3/14/2012,3,1
Denver,12S159,3/14/2012,4,4
Denver,12S159,3/14/2012,5,4
Denver,12S159,3/14/2012,6,4
Denver,12S159,3/14/2012,7,4
Denver,12S159,3/14/2012,8,4
Denver,12S159,3/14/2012,9,4
Denver,12S159,3/14/2012,10,4
Denver,12S159,3/14/2012,11,4
Denver,12S159,3/14/2012,12,4
Denver,12S159,3/14/2012,13,4
Denver,12S159,3/14/2012,14,4
Denver,12S159,3/14/2012,15,4
Denver,12S159,3/14/2012,16,4
Denver,12S159,3/14/2012,17,4
Denver,12S159,3/14/2012,18,4
Denver,12S159,3/14/2012,19,4
Denver,12S159,3/14/2012,20,4
Denver,12S159,3/14/2012,21,4
Denver,12S159,3/14/2012,22,4
Denver,12S159,3/14/2012,23,4
Denver,12S161,3/6/2012,0,1
Denver,12S161,3/6/2012,1,1
Denver,12S161,3/6/2012,2,4
Denver,12S161,3/6/2012,3,4
Denver,12S161,3/6/2012,4,4
Denver,12S161,3/6/2012,5,4
Denver,12S161,3/6/2012,6,4
Denver,12S161,3/6/2012,7,1
Denver,12S161,3/6/2012,8,4
Denver,12S161,3/6/2012,9,4
Denver,12S161,3/6/2012,10,4
Denver,12S161,3/6/2012,11,1
Denver,12S161,3/6/2012,12,3
Denver,12S161,3/6/2012,13,4
Denver,12S161,3/6/2012,14,4
Denver,12S161,3/6/2012,15,4
Denver,12S161,3/6/2012,16,4
Denver,12S161,3/6/2012,17,4
Denver,12S161,3/6/2012,18,4
Denver,12S161,3/6/2012,19,1
Denver,12S161,3/6/2012,20,1
Denver,12S161,3/6/2012,21,1
Denver,12S161,3/6/2012,22,1
Denver,12S161,3/6/2012,23,1
Denver,12S170,3/2/2012,0,2
Denver,12S170,3/2/2012,1,2
Denver,12S170,3/2/2012,2,2
Denver,12S170,3/2/2012,3,2
Denver,12S170,3/2/2012,4,2
Denver,12S170,3/2/2012,5,2
Denver,12S170,3/2/2012,6,3
Denver,12S170,3/2/2012,7,2
Denver,12S170,3/2/2012,8,4
Denver,12S170,3/2/2012,9,4
Denver,12S170,3/2/2012,10,4
Denver,12S170,3/2/2012,11,4
Denver,12S170,3/2/2012,12,4
Denver,12S170,3/2/2012,13,4
Denver,12S170,3/2/2012,14,4
Denver,12S170,3/2/2012,15,4
Denver,12S170,3/2/2012,16,4
Denver,12S170,3/2/2012,17,4
Denver,12S170,3/2/2012,18,4
Denver,12S170,3/2/2012,19,4
Denver,12S170,3/2/2012,20,4
Denver,12S170,3/2/2012,21,4
Denver,12S170,3/2/2012,22,4
Denver,12S170,3/2/2012,23,4
Denver,12S172,3/6/2012,0,1
Denver,12S172,3/6/2012,1,1
Denver,12S172,3/6/2012,2,1
Denver,12S172,3/6/2012,3,1
Denver,12S172,3/6/2012,4,1
Denver,12S172,3/6/2012,5,1
Denver,12S172,3/6/2012,6,1
Denver,12S172,3/6/2012,7,1
Denver,12S172,3/6/2012,8,1
Denver,12S172,3/6/2012,9,4
Denver,12S172,3/6/2012,10,4
Denver,12S172,3/6/2012,11,3
Denver,12S172,3/6/2012,12,1
Denver,12S172,3/6/2012,13,4
Denver,12S172,3/6/2012,14,4
Denver,12S172,3/6/2012,15,4
Denver,12S172,3/6/2012,16,4
Denver,12S172,3/6/2012,17,4
Denver,12S172,3/6/2012,18,4
Denver,12S172,3/6/2012,19,1
Denver,12S172,3/6/2012,20,1
Denver,12S172,3/6/2012,21,1
Denver,12S172,3/6/2012,22,1
Denver,12S172,3/6/2012,23,1
Denver,12S174,3/18/2012,0,4
Denver,12S174,3/18/2012,1,4
Denver,12S174,3/18/2012,2,4
Denver,12S174,3/18/2012,3,4
Denver,12S174,3/18/2012,4,4
Denver,12S174,3/18/2012,5,4
Denver,12S174,3/18/2012,6,4
Denver,12S174,3/18/2012,7,3
Denver,12S174,3/18/2012,8,4
Denver,12S174,3/18/2012,9,4
Denver,12S174,3/18/2012,10,4
Denver,12S174,3/18/2012,11,4
Denver,12S174,3/18/2012,12,4
Denver,12S174,3/18/2012,13,4
Denver,12S174,3/18/2012,14,4
Denver,12S174,3/18/2012,15,4
Denver,12S174,3/18/2012,16,4
Denver,12S174,3/18/2012,17,4
Denver,12S174,3/18/2012,18,4
Denver,12S174,3/18/2012,19,4
Denver,12S174,3/18/2012,20,4
Denver,12S174,3/18/2012,21,4
Denver,12S174,3/18/2012,22,4
Denver,12S174,3/18/2012,23,4
Denver,12S185,3/11/2012,0,4
Denver,12S185,3/11/2012,1,4
Denver,12S185,3/11/2012,2,3
Denver,12S185,3/11/2012,3,4
Denver,12S185,3/11/2012,4,3
Denver,12S185,3/11/2012,5,3
Denver,12S185,3/11/2012,6,3
Denver,12S185,3/11/2012,7,4
Denver,12S185,3/11/2012,8,3
Denver,12S185,3/11/2012,9,2
Denver,12S185,3/11/2012,10,2
Denver,12S185,3/11/2012,11,3
Denver,12S185,3/11/2012,12,1
Denver,12S185,3/11/2012,13,4
Denver,12S185,3/11/2012,14,4
Denver,12S185,3/11/2012,15,4
Denver,12S185,3/11/2012,16,4
Denver,12S185,3/11/2012,17,4
Denver,12S185,3/11/2012,18,4
Denver,12S185,3/11/2012,19,1
Denver,12S185,3/11/2012,20,1
Denver,12S185,3/11/2012,21,4
Denver,12S185,3/11/2012,22,4
Denver,12S185,3/11/2012,23,1
Denver,12S197,3/10/2012,0,1
Denver,12S197,3/10/2012,1,1
Denver,12S197,3/10/2012,2,1
Denver,12S197,3/10/2012,3,1
Denver,12S197,3/10/2012,4,1
Denver,12S197,3/10/2012,5,1
Denver,12S197,3/10/2012,6,1
Denver,12S197,3/10/2012,7,4
Denver,12S197,3/10/2012,8,4
Denver,12S197,3/10/2012,9,4
Denver,12S197,3/10/2012,10,4
Denver,12S197,3/10/2012,11,4
Denver,12S197,3/10/2012,12,4
Denver,12S197,3/10/2012,13,4
Denver,12S197,3/10/2012,14,4
Denver,12S197,3/10/2012,15,4
Denver,12S197,3/10/2012,16,4
Denver,12S197,3/10/2012,17,4
Denver,12S197,3/10/2012,18,2
Denver,12S197,3/10/2012,19,1
Denver,12S197,3/10/2012,20,1
Denver,12S197,3/10/2012,21,1
Denver,12S197,3/10/2012,22,1
Denver,12S197,3/10/2012,23,1
Denver,12S220,3/14/2012,0,4
Denver,12S220,3/14/2012,1,4
Denver,12S220,3/14/2012,2,4
Denver,12S220,3/14/2012,3,2
Denver,12S220,3/14/2012,4,2
Denver,12S220,3/14/2012,5,3
Denver,12S220,3/14/2012,6,2
Denver,12S220,3/14/2012,7,2
Denver,12S220,3/14/2012,8,2
Denver,12S220,3/14/2012,9,4
Denver,12S220,3/14/2012,10,4
Denver,12S220,3/14/2012,11,4
Denver,12S220,3/14/2012,12,4
Denver,12S220,3/14/2012,13,2
Denver,12S220,3/14/2012,14,2
Denver,12S220,3/14/2012,15,2
Denver,12S220,3/14/2012,16,2
Denver,12S220,3/14/2012,17,2
Denver,12S220,3/14/2012,18,4
Denver,12S220,3/14/2012,19,4
Denver,12S220,3/14/2012,20,4
Denver,12S220,3/14/2012,21,4
Denver,12S220,3/14/2012,22,4
Denver,12S220,3/14/2012,23,4
Fort Collins,12S230,5/2/2012,0,4
Fort Collins,12S230,5/2/2012,1,3
Fort Collins,12S230,5/2/2012,2,4
Fort Collins,12S230,5/2/2012,3,4
Fort Collins,12S230,5/2/2012,4,4
Fort Collins,12S230,5/2/2012,5,4
Fort Collins,12S230,5/2/2012,6,4
Fort Collins,12S230,5/2/2012,7,4
Fort Collins,12S230,5/2/2012,8,4
Fort Collins,12S230,5/2/2012,9,4
Fort Collins,12S230,5/2/2012,10,4
Fort Collins,12S230,5/2/2012,11,4
Fort Collins,12S230,5/2/2012,12,4
Fort Collins,12S230,5/2/2012,13,4
Fort Collins,12S230,5/2/2012,14,4
Fort Collins,12S230,5/2/2012,15,4
Fort Collins,12S230,5/2/2012,16,4
Fort Collins,12S230,5/2/2012,17,4
Fort Collins,12S230,5/2/2012,18,4
Fort Collins,12S230,5/2/2012,19,4
Fort Collins,12S230,5/2/2012,20,4
Fort Collins,12S230,5/2/2012,21,4
Fort Collins,12S230,5/2/2012,22,4
Fort Collins,12S230,5/2/2012,23,4
Fort Collins,12S230,5/3/2012,0,2
Fort Collins,12S230,5/3/2012,1,2
Fort Collins,12S230,5/3/2012,2,2
Fort Collins,12S230,5/3/2012,3,2
Fort Collins,12S230,5/3/2012,4,2
Fort Collins,12S230,5/3/2012,5,2
Fort Collins,12S230,5/3/2012,6,2
Fort Collins,12S230,5/3/2012,7,2
Fort Collins,12S230,5/3/2012,8,2
Fort Collins,12S230,5/3/2012,9,2
Fort Collins,12S230,5/3/2012,10,2
Fort Collins,12S230,5/3/2012,11,2
Fort Collins,12S230,5/3/2012,12,2
Fort Collins,12S230,5/3/2012,13,2
Fort Collins,12S230,5/3/2012,14,2
Fort Collins,12S230,5/3/2012,15,2
Fort Collins,12S230,5/3/2012,16,2
Fort Collins,12S230,5/3/2012,17,2
Fort Collins,12S230,5/3/2012,18,2
Fort Collins,12S230,5/3/2012,19,2
Fort Collins,12S230,5/3/2012,20,2
Fort Collins,12S230,5/3/2012,21,2
Fort Collins,12S230,5/3/2012,22,2
Fort Collins,12S230,5/3/2012,23,3
Fort Collins,12S230,5/4/2012,0,1
Fort Collins,12S230,5/4/2012,1,3
Fort Collins,12S230,5/4/2012,2,4
Fort Collins,12S230,5/4/2012,3,1
Fort Collins,12S230,5/4/2012,4,1
Fort Collins,12S230,5/4/2012,5,1
Fort Collins,12S230,5/4/2012,6,4
Fort Collins,12S230,5/4/2012,7,4
Fort Collins,12S230,5/4/2012,8,1
Fort Collins,12S230,5/4/2012,9,1
Fort Collins,12S230,5/4/2012,10,1
Fort Collins,12S230,5/4/2012,11,1
Fort Collins,12S230,5/4/2012,12,1
Fort Collins,12S230,5/4/2012,13,1
Fort Collins,12S230,5/4/2012,14,1
Fort Collins,12S230,5/4/2012,15,1
Fort Collins,12S230,5/4/2012,16,1
Fort Collins,12S230,5/4/2012,17,1
Fort Collins,12S230,5/4/2012,18,1
Fort Collins,12S230,5/4/2012,19,1
Fort Collins,12S230,5/4/2012,20,4
Fort Collins,12S230,5/4/2012,21,4
Fort Collins,12S230,5/4/2012,22,1
Fort Collins,12S230,5/4/2012,23,1
Fort Collins,12S230,5/6/2012,0,4
Fort Collins,12S230,5/6/2012,1,3
Fort Collins,12S230,5/6/2012,2,4
Fort Collins,12S230,5/6/2012,3,4
Fort Collins,12S230,5/6/2012,4,4
Fort Collins,12S230,5/6/2012,5,4
Fort Collins,12S230,5/6/2012,6,4
Fort Collins,12S230,5/6/2012,7,4
Fort Collins,12S230,5/6/2012,8,4
Fort Collins,12S230,5/6/2012,9,4
Fort Collins,12S230,5/6/2012,10,4
Fort Collins,12S230,5/6/2012,11,4
Fort Collins,12S230,5/6/2012,12,4
Fort Collins,12S230,5/6/2012,13,4
Fort Collins,12S230,5/6/2012,14,4
Fort Collins,12S230,5/6/2012,15,4
Fort Collins,12S230,5/6/2012,16,4
Fort Collins,12S230,5/6/2012,17,4
Fort Collins,12S230,5/6/2012,18,4
Fort Collins,12S230,5/6/2012,19,4
Fort Collins,12S230,5/6/2012,20,4
Fort Collins,12S230,5/6/2012,21,4
Fort Collins,12S230,5/6/2012,22,4
Fort Collins,12S230,5/6/2012,23,4
Fort Collins,12S230,5/7/2012,0,1
Fort Collins,12S230,5/7/2012,1,3
Fort Collins,12S230,5/7/2012,2,4
Fort Collins,12S230,5/7/2012,3,1
Fort Collins,12S230,5/7/2012,4,1
Fort Collins,12S230,5/7/2012,5,1
Fort Collins,12S230,5/7/2012,6,4
Fort Collins,12S230,5/7/2012,7,1
Fort Collins,12S230,5/7/2012,8,1
Fort Collins,12S230,5/7/2012,9,1
Fort Collins,12S230,5/7/2012,10,1
Fort Collins,12S230,5/7/2012,11,1
Fort Collins,12S230,5/7/2012,12,1
Fort Collins,12S230,5/7/2012,13,1
Fort Collins,12S230,5/7/2012,14,1
Fort Collins,12S230,5/7/2012,15,1
Fort Collins,12S230,5/7/2012,16,1
Fort Collins,12S230,5/7/2012,17,1
Fort Collins,12S230,5/7/2012,18,1
Fort Collins,12S230,5/7/2012,19,1
Fort Collins,12S230,5/7/2012,20,1
Fort Collins,12S230,5/7/2012,21,1
Fort Collins,12S230,5/7/2012,22,1
Fort Collins,12S230,5/7/2012,23,1
Fort Collins,12S230,5/9/2012,0,1
Fort Collins,12S230,5/9/2012,1,3
Fort Collins,12S230,5/9/2012,2,4
Fort Collins,12S230,5/9/2012,3,4
Fort Collins,12S230,5/9/2012,4,4
Fort Collins,12S230,5/9/2012,5,4
Fort Collins,12S230,5/9/2012,6,4
Fort Collins,12S230,5/9/2012,7,4
Fort Collins,12S230,5/9/2012,8,4
Fort Collins,12S230,5/9/2012,9,4
Fort Collins,12S230,5/9/2012,10,4
Fort Collins,12S230,5/9/2012,11,4
Fort Collins,12S230,5/9/2012,12,4
Fort Collins,12S230,5/9/2012,13,4
Fort Collins,12S230,5/9/2012,14,4
Fort Collins,12S230,5/9/2012,15,4
Fort Collins,12S230,5/9/2012,16,4
Fort Collins,12S230,5/9/2012,17,4
Fort Collins,12S230,5/9/2012,18,4
Fort Collins,12S230,5/9/2012,19,4
Fort Collins,12S230,5/9/2012,20,4
Fort Collins,12S230,5/9/2012,21,4
Fort Collins,12S230,5/9/2012,22,4
Fort Collins,12S230,5/9/2012,23,4
Fort Collins,12S230,5/11/2012,0,1
Fort Collins,12S230,5/11/2012,1,3
Fort Collins,12S230,5/11/2012,2,4
Fort Collins,12S230,5/11/2012,3,4
Fort Collins,12S230,5/11/2012,4,1
Fort Collins,12S230,5/11/2012,5,1
Fort Collins,12S230,5/11/2012,6,4
Fort Collins,12S230,5/11/2012,7,4
Fort Collins,12S230,5/11/2012,8,1
Fort Collins,12S230,5/11/2012,9,1
Fort Collins,12S230,5/11/2012,10,1
Fort Collins,12S230,5/11/2012,11,1
Fort Collins,12S230,5/11/2012,12,1
